,title,price,mpg,rating
97,2020 Nissan Sentra,"$20,235",33 MPG,4.6 / 5
98,2020 Nissan Versa,"$15,755",30 MPG,4.2 / 5
99,2019 Nissan Versa Note,"$16,575",34 MPG,4.3 / 5
100,2020 Nissan Armada,"$48,895",16 MPG,4.1 / 5
101,2020 Nissan Kicks,"$20,165",33 MPG,4.4 / 5
102,2020 Nissan Murano,"$32,825",23 MPG,4.1 / 5
103,2020 Nissan Pathfinder,"$33,075",23 MPG,4.1 / 5
104,2021 Nissan Rogue,"$26,745",30 MPG,4.7 / 5
105,2020 Nissan Rogue Sport,"$24,525",28 MPG,4.4 / 5
106,2020 Nissan Kicks,"$20,165",33 MPG,4.4 / 5
107,2020 Nissan Murano,"$32,825",23 MPG,4.1 / 5
108,2021 Nissan Rogue,"$26,745",30 MPG,4.7 / 5
109,2020 Nissan Rogue Sport,"$24,525",28 MPG,4.4 / 5
110,2019 Nissan Rogue,"$28,795",34 MPG,4.3 / 5
111,2020 Nissan LEAF,"$32,525",111 MPGe,4.4 / 5
112,2020 Nissan 370Z,"$31,015",20 MPG,4.2 / 5
113,2020 Nissan GT-R,"$115,335",18 MPG,
114,2020 Nissan 370Z,"$31,015",20 MPG,4.2 / 5
115,2020 Nissan LEAF,"$32,525",111 MPGe,4.4 / 5
116,2019 Nissan Versa Note,"$16,575",34 MPG,4.3 / 5
117,2020 MINI Clubman,"$31,750",29 MPG,3.8 / 5
118,2020 MINI Hardtop 4 Door,"$25,250",31 MPG,3.7 / 5
119,2020 MINI Countryman,"$29,250",29 MPG,
120,2020 MINI Countryman,"$29,250",29 MPG,
121,2020 MINI Countryman,"$38,750",29 MPG,
122,2020 MINI Countryman,"$38,750",29 MPG,
123,2020 MINI Hardtop 2 Door,"$24,250",31 MPG,3.7 / 5
124,2020 MINI Clubman,"$31,750",29 MPG,3.8 / 5
125,2020 MINI Countryman,"$29,250",29 MPG,
126,2020 MINI Hardtop 2 Door,"$24,250",31 MPG,3.7 / 5
127,2020 MINI Hardtop 4 Door,"$25,250",31 MPG,3.7 / 5
128,2019 MINI Convertible,"$27,750",31 MPG,3.7 / 5
129,2019 McLaren 570GT,"$205,450",18 MPG,
130,2019 McLaren 570S,"$211,300",18 MPG,
131,2019 McLaren 600LT,"$242,500",18 MPG,
132,2019 McLaren 720S,"$317,500",18 MPG,
133,2019 McLaren 570GT,"$205,450",18 MPG,
134,2019 McLaren 570S,"$195,000",18 MPG,
135,2019 McLaren 600LT,"$242,500",18 MPG,
136,2019 McLaren 720S,"$295,500",18 MPG,
137,2019 McLaren 570S,"$211,300",18 MPG,
138,2019 McLaren 720S,"$317,500",18 MPG,
139,2019 Maserati Ghibli,"$76,975",19 MPG,3.7 / 5
140,2019 Maserati Quattroporte,"$109,975",18 MPG,
141,2019 Maserati Levante,"$78,385",17 MPG,4.1 / 5
142,2019 Maserati Ghibli,"$76,975",19 MPG,3.7 / 5
143,2019 Maserati GranTurismo,"$152,975",16 MPG,
144,2019 Maserati Levante,"$78,385",17 MPG,4.1 / 5
145,2019 Maserati Quattroporte,"$109,975",18 MPG,
146,2019 Maserati GranTurismo,"$152,975",16 MPG,
147,2021 Lexus ES,"$40,925",28 MPG,4.7 / 5
148,2020 Lexus GS,"$52,090",21 MPG,4.4 / 5
149,2021 Lexus IS,"$40,025",25 MPG,
150,2020 Lexus LS,"$76,475",23 MPG,
151,2021 Lexus GX,"$54,125",16 MPG,3.6 / 5
152,2021 Lexus LX,"$87,875",14 MPG,3.5 / 5
153,2021 Lexus NX,"$38,535",25 MPG,
154,2021 Lexus RX,"$46,095",23 MPG,
155,2021 Lexus UX,"$33,925",32 MPG,4.3 / 5
156,2021 Lexus NX,"$38,535",25 MPG,
157,2021 Lexus RX,"$46,095",23 MPG,
158,2021 Lexus UX,"$33,925",32 MPG,4.3 / 5
159,2021 Lexus ES,"$40,925",28 MPG,4.7 / 5
